date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:35:02	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2002%20Oct%202018%2008:35:02%20GMT	https://libanky.cilf.cz/2018/09/13/prvni-den-v-budapesti/?share=twitter	libanky.cilf.cz/2018/09/13/prvni-den-v-budapesti/index9a7b.html	(from https://libanky.cilf.cz/2018/09/13/prvni-den-v-budapesti/)
10:35:04	1191/1191	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2254c2cde3-4a7%22	https://s2.wp.com/wp-content/themes/pub/edin/font/edincon.svg?-yw7mjc	s2.wp.com/wp-content/themes/pub/edin/font/edincon0d3d.svg	(from https://s2.wp.com/_static/??-eJyFj0EOwjAMBD9EcAuqOCHe0qZuMEriqHYV8XsCvQQQ5bZrz8pryMlYjopRQa8YUCAtA+BIEaYyf6kC7K3IDio4LCb5xVEUcBhxprL4Ib+yn4dE7x7/UqXHSpqcLIetRplGhyogbKn3Zi1Um+132Hi2vRLHN2Mm39O8FZ1x8OyKdFCoyj5Dl3Buu/Z4apquOdweXheM9w==?cssminify=yes)
10:35:04	15979/15979	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Oct%202018%2008:35:04%20GMT	https://libanky.cilf.cz/2018/09/12/tatry/wordpress_test_cookie=test;%20path=/	libanky.cilf.cz/2018/09/12/tatry/wordpress_test_cookie=test;%20path=/index.html	(from https://libanky.cilf.cz/2018/09/12/tatry/)
10:35:04	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2002%20Oct%202018%2008:35:04%20GMT	https://libanky.cilf.cz/2018/09/13/prvni-den-v-budapesti/?share=facebook	libanky.cilf.cz/2018/09/13/prvni-den-v-budapesti/index5a58.html	(from https://libanky.cilf.cz/2018/09/13/prvni-den-v-budapesti/)
10:35:04	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2002%20Oct%202018%2008:35:04%20GMT	https://libanky.cilf.cz/2018/09/13/prvni-den-v-budapesti/?share=google-plus-1	libanky.cilf.cz/2018/09/13/prvni-den-v-budapesti/index386f.html	(from https://libanky.cilf.cz/2018/09/13/prvni-den-v-budapesti/)
10:35:06	22374/22374	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2255fbcb28-5766%22	https://s2.wp.com/wp-content/mu-plugins/genericons/genericons/Genericons.eot	s2.wp.com/wp-content/mu-plugins/genericons/genericons/Genericons.eot	(from https://s2.wp.com/_static/??-eJyFj0EOwjAMBD9EcAuqOCHe0qZuMEriqHYV8XsCvQQQ5bZrz8pryMlYjopRQa8YUCAtA+BIEaYyf6kC7K3IDio4LCb5xVEUcBhxprL4Ib+yn4dE7x7/UqXHSpqcLIetRplGhyogbKn3Zi1Um+132Hi2vRLHN2Mm39O8FZ1x8OyKdFCoyj5Dl3Buu/Z4apquOdweXheM9w==?cssminify=yes)
10:35:06	25227/25227	---MCZ	200	added ('OK')	text/html	etag:W/%2259c7ce85f3e68dae46a291a441b38204%22	https://libanky.cilf.cz/2018/09/12/tatry/amp/	libanky.cilf.cz/2018/09/12/tatry/amp/index.html	(from https://libanky.cilf.cz/2018/09/12/tatry/)
10:35:06	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2002%20Oct%202018%2008:35:06%20GMT	https://libanky.cilf.cz/2018/09/12/tatry/?share=twitter	libanky.cilf.cz/2018/09/12/tatry/index9a7b.html	(from https://libanky.cilf.cz/2018/09/12/tatry/)
10:35:06	870/870	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%224feaa47704d38a4831157358e8919c38%22	https://libanky.cilf.cz/2018/09/12/tatry/feed/	libanky.cilf.cz/2018/09/12/tatry/feed/index.html	(from https://libanky.cilf.cz/2018/09/12/tatry/)
10:35:08	22374/22374	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2255fbcb28-5766%22	https://s2.wp.com/wp-content/mu-plugins/genericons/genericons/Genericons.eot?	s2.wp.com/wp-content/mu-plugins/genericons/genericons/Genericonsd41d.eot	(from https://s2.wp.com/_static/??-eJyFj0EOwjAMBD9EcAuqOCHe0qZuMEriqHYV8XsCvQQQ5bZrz8pryMlYjopRQa8YUCAtA+BIEaYyf6kC7K3IDio4LCb5xVEUcBhxprL4Ib+yn4dE7x7/UqXHSpqcLIetRplGhyogbKn3Zi1Um+132Hi2vRLHN2Mm39O8FZ1x8OyKdFCoyj5Dl3Buu/Z4apquOdweXheM9w==?cssminify=yes)
10:35:08	16009/16009	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Oct%202018%2008:35:08%20GMT	https://libanky.cilf.cz/2018/09/11/slovenske-diery/wordpress_test_cookie=test;%20path=/	libanky.cilf.cz/2018/09/11/slovenske-diery/wordpress_test_cookie=test;%20path=/index.html	(from https://libanky.cilf.cz/2018/09/11/slovenske-diery/)
10:35:08	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2002%20Oct%202018%2008:35:08%20GMT	https://libanky.cilf.cz/2018/09/12/tatry/?share=google-plus-1	libanky.cilf.cz/2018/09/12/tatry/index386f.html	(from https://libanky.cilf.cz/2018/09/12/tatry/)
10:35:08	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2002%20Oct%202018%2008:35:08%20GMT	https://libanky.cilf.cz/2018/09/12/tatry/?share=facebook	libanky.cilf.cz/2018/09/12/tatry/index5a58.html	(from https://libanky.cilf.cz/2018/09/12/tatry/)
10:35:10	22188/22188	---MCZ	200	added ('OK')	application/font-ttf	etag:W/%2255fbcb28-56ac%22	https://s2.wp.com/wp-content/mu-plugins/genericons/genericons/Genericons.ttf	s2.wp.com/wp-content/mu-plugins/genericons/genericons/Genericons.ttf	(from https://s2.wp.com/_static/??-eJyFj0EOwjAMBD9EcAuqOCHe0qZuMEriqHYV8XsCvQQQ5bZrz8pryMlYjopRQa8YUCAtA+BIEaYyf6kC7K3IDio4LCb5xVEUcBhxprL4Ib+yn4dE7x7/UqXHSpqcLIetRplGhyogbKn3Zi1Um+132Hi2vRLHN2Mm39O8FZ1x8OyKdFCoyj5Dl3Buu/Z4apquOdweXheM9w==?cssminify=yes)
10:35:10	901/901	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%226e6feba524b2bb751849ce54bf9fb7d0%22	https://libanky.cilf.cz/2018/09/11/slovenske-diery/feed/	libanky.cilf.cz/2018/09/11/slovenske-diery/feed/index.html	(from https://libanky.cilf.cz/2018/09/11/slovenske-diery/)
10:35:10	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2002%20Oct%202018%2008:35:10%20GMT	https://libanky.cilf.cz/2018/09/11/slovenske-diery/?share=twitter	libanky.cilf.cz/2018/09/11/slovenske-diery/index9a7b.html	(from https://libanky.cilf.cz/2018/09/11/slovenske-diery/)
10:35:10	32187/32187	---MCZ	200	added ('OK')	text/html	etag:W/%2216b2d39b044df9605fb462601fc1c63d%22	https://libanky.cilf.cz/2018/09/11/slovenske-diery/amp/	libanky.cilf.cz/2018/09/11/slovenske-diery/amp/index.html	(from https://libanky.cilf.cz/2018/09/11/slovenske-diery/)
10:35:14	16030/16030	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Oct%202018%2008:35:12%20GMT	https://libanky.cilf.cz/2018/09/10/prvni-den-na-slovensku/wordpress_test_cookie=test;%20path=/	libanky.cilf.cz/2018/09/10/prvni-den-na-slovensku/wordpress_test_cookie=test;%20path=/index.html	(from https://libanky.cilf.cz/2018/09/10/prvni-den-na-slovensku/)
10:35:14	76980/76980	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2255fbcb28-12cb4%22	https://s2.wp.com/wp-content/mu-plugins/genericons/genericons/Genericons.svg	s2.wp.com/wp-content/mu-plugins/genericons/genericons/Genericons.svg	(from https://s2.wp.com/_static/??-eJyFj0EOwjAMBD9EcAuqOCHe0qZuMEriqHYV8XsCvQQQ5bZrz8pryMlYjopRQa8YUCAtA+BIEaYyf6kC7K3IDio4LCb5xVEUcBhxprL4Ib+yn4dE7x7/UqXHSpqcLIetRplGhyogbKn3Zi1Um+132Hi2vRLHN2Mm39O8FZ1x8OyKdFCoyj5Dl3Buu/Z4apquOdweXheM9w==?cssminify=yes)
10:35:16	9982/9982	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2257041678-26fe%22	https://s0.wp.com/wp-content/mu-plugins/social-logos/social-logos.eot?51b607ee5b5cb2a0e4517176475a424c	s0.wp.com/wp-content/mu-plugins/social-logos/social-logos6de4.eot	(from https://s0.wp.com/_static/??-eJx9i0EKQjEMBS9kDdVfXIlnyS+1jaRJafLx+uJCRBRXbx7MwH2ErOJFHPoWBm+VxACzk8qK8037bLaD3/pQ83BlpAnWcJLU1/6rTDMhB9aqn+cr8lZ6MWgLVNYV+Slc+jmmQzrFtMTj7QHFQEmu?cssminify=yes)
10:35:17	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2002%20Oct%202018%2008:35:12%20GMT	https://libanky.cilf.cz/2018/09/11/slovenske-diery/?share=google-plus-1	libanky.cilf.cz/2018/09/11/slovenske-diery/index386f.html	(from https://libanky.cilf.cz/2018/09/11/slovenske-diery/)
10:35:17	9982/9982	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2257041678-26fe%22	https://s0.wp.com/wp-content/mu-plugins/social-logos/social-logos.eot?	s0.wp.com/wp-content/mu-plugins/social-logos/social-logosd41d.eot	(from https://s0.wp.com/_static/??-eJx9i0EKQjEMBS9kDdVfXIlnyS+1jaRJafLx+uJCRBRXbx7MwH2ErOJFHPoWBm+VxACzk8qK8037bLaD3/pQ83BlpAnWcJLU1/6rTDMhB9aqn+cr8lZ6MWgLVNYV+Slc+jmmQzrFtMTj7QHFQEmu?cssminify=yes)
10:35:17	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2002%20Oct%202018%2008:35:12%20GMT	https://libanky.cilf.cz/2018/09/11/slovenske-diery/?share=facebook	libanky.cilf.cz/2018/09/11/slovenske-diery/index5a58.html	(from https://libanky.cilf.cz/2018/09/11/slovenske-diery/)
